Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
152,32,7,61,9,Some Random Commen with Id 152
153,32,7,160,5,Some Random Commen with Id 153
154,32,7,111,6,Some Random Commen with Id 154
155,32,7,100,6,Some Random Commen with Id 155
156,33,9,138,7,Some Random Commen with Id 156
157,33,9,32,2,Some Random Commen with Id 157
158,33,9,110,9,Some Random Commen with Id 158
159,33,9,66,1,Some Random Commen with Id 159
160,34,5,110,6,Some Random Commen with Id 160
161,35,1,85,7,Some Random Commen with Id 161
162,35,1,42,3,Some Random Commen with Id 162
163,35,1,182,0,Some Random Commen with Id 163
164,35,1,164,0,Some Random Commen with Id 164
165,35,1,76,9,Some Random Commen with Id 165
166,36,8,135,6,Some Random Commen with Id 166
167,36,8,42,4,Some Random Commen with Id 167
168,36,8,6,1,Some Random Commen with Id 168
169,36,8,23,2,Some Random Commen with Id 169
170,36,8,2,9,Some Random Commen with Id 170
171,36,8,69,1,Some Random Commen with Id 171
172,36,8,181,8,Some Random Commen with Id 172
173,36,8,95,6,Some Random Commen with Id 173
174,36,8,9,5,Some Random Commen with Id 174
175,37,1,22,1,Some Random Commen with Id 175
176,37,1,135,8,Some Random Commen with Id 176
177,37,1,179,5,Some Random Commen with Id 177
178,37,1,11,8,Some Random Commen with Id 178
179,37,1,182,6,Some Random Commen with Id 179
180,37,1,29,1,Some Random Commen with Id 180
181,38,4,24,2,Some Random Commen with Id 181
182,38,4,125,0,Some Random Commen with Id 182
183,38,4,38,3,Some Random Commen with Id 183
184,39,8,5,7,Some Random Commen with Id 184
185,39,8,6,5,Some Random Commen with Id 185
186,39,8,92,6,Some Random Commen with Id 186
187,39,8,102,1,Some Random Commen with Id 187
188,39,8,35,7,Some Random Commen with Id 188
189,39,8,5,2,Some Random Commen with Id 189
190,39,8,152,3,Some Random Commen with Id 190
191,39,8,195,3,Some Random Commen with Id 191
192,39,8,14,8,Some Random Commen with Id 192
